pi.mu^2.I \ thetaD	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90
2.30	0.528532007	0.544066259	0.589445122	0.660903766	0.753447659	0.86223821	0.983125341	1.112655329	1.247890566	1.386202155	1.525085142	1.661998317	1.79421494	1.9186684	2.031780965	2.12927869	2.206041726	2.256174074	2.27384717
2.40	0.509098303	0.52585995	0.574723315	0.651418322	0.750430751	0.866548545	0.995387323	1.133343079	1.277364976	1.424719075	1.572787657	1.718899401	1.86017182	1.993346325	2.114600894	2.219340372	2.302013307	2.356154455	2.375283882
2.50	0.489998738	0.507991245	0.560332445	0.642219687	0.747614013	0.870944382	1.007611482	1.153876696	1.30658591	1.462905359	1.62010667	1.775388792	1.925713051	2.067628082	2.19706635	2.309108811	2.397765306	2.455983881	2.476600536
2.60	0.471383482	0.490607416	0.546410965	0.633433416	0.745109642	0.875526683	1.019890308	1.174342348	1.335634345	1.500836992	1.667112714	1.831530721	1.990895542	2.141562282	2.27921696	2.398614611	2.493320412	2.555679724	2.577812751
2.70	0.453362888	0.473816394	0.533059459	0.625149738	0.742997908	0.880368263	1.032291865	1.194805187	1.36457326	1.538574624	1.713863358	1.887378592	2.055767336	2.215190458	2.361086852	2.487884186	2.588698058	2.655256628	2.678933582
2.80	0.436014419	0.457693644	0.520347372	0.617430006	0.741333166	0.885519223	1.044864563	1.215313434	1.39345107	1.576166405	1.760405511	1.942976841	2.120369074	2.288548199	2.442705533	2.576940435	2.68391498	2.754727002	2.779973991
2.90	0.419388697	0.442288169	0.508318851	0.610312266	0.740149007	0.891011566	1.057641176	1.235901805	1.422304493	1.613650352	1.806777353	1.998362478	2.184735217	2.361666098	2.524098612	2.665803311	2.778985676	2.854101424	2.880943225
3.00	0.403514699	0.427627657	0.496997765	0.603816014	0.739462629	0.896863082	1.0706422	1.25659435	1.451160924	1.651056311	1.853009937	2.053566376	2.248895061	2.434570544	2.605288406	2.754490283	2.873922775	2.953388958	2.981849133
3.10	0.388404197	0.413722878	0.486391957	0.597946208	0.73927849	0.90308057	1.08387862	1.277406796	1.480040384	1.688407567	1.899128504	2.108614338	2.312873585	2.507284374	2.686294443	2.843016719	2.968737344	3.052597422	3.082698407
3.20	0.374055496	0.400571385	0.476496819	0.592696619	0.739591343	0.909662488	1.097354176	1.298348446	1.508957109	1.725722163	1.945153571	2.163527978	2.376692153	2.579827425	2.767133872	2.931396201	3.063439133	3.151733595	3.183496787
3.30	0.360456561	0.388160595	0.467298269	0.588052608	0.740388725	0.916601119	1.111067197	1.319423719	1.537920836	1.763013967	1.991101811	2.21832544	2.440369092	2.652216983	2.847821816	3.019640785	3.158036779	3.25080339	3.284249222
3.40	0.347587607	0.376470354	0.458775203	0.583993394	0.741652976	0.923884308	1.12501207	1.340633387	1.566937834	1.800293541	2.036986781	2.273022	2.503920177	2.724468165	2.928371656	3.107761216	3.252537971	3.349811995	3.38496
3.50	0.335423218	0.365475024	0.450901498	0.580493899	0.74336287	0.931496849	1.139180408	1.361975547	1.596011731	1.837568836	2.082819507	2.327630552	2.56735903	2.796594234	3.00879527	3.195767109	3.346949586	3.448763984	3.485632856
3.60	0.323934077	0.355145181	0.443647627	0.577526227	0.745494899	0.939421582	1.153561963	1.383446399	1.625144171	1.874845755	2.128608964	2.382162015	2.630697451	2.868606864	3.089103243	3.283667099	3.441277802	3.547663408	3.586271058
3.70	0.313088347	0.345448984	0.436981956	0.57506083	0.748024291	0.947640244	1.168145345	1.405040842	1.654335326	1.912128601	2.174362464	2.436625663	2.693945698	2.940516362	3.169305029	3.371468964	3.535528193	3.646513878	3.686877478
3.80	0.302852774	0.336353249	0.430871763	0.57306743	0.750925789	0.956134116	1.182918558	1.426752944	1.683584303	1.949420429	2.220085969	2.491029398	2.757112713	3.012331855	3.249409102	3.459179736	3.629705806	3.74531862	3.787454652
3.90	0.29319355	0.327824299	0.42528403	0.571515718	0.754174248	0.964884516	1.197869414	1.448576289	1.712889458	1.986723335	2.265784345	2.545379974	2.82020632	3.084061449	3.329423074	3.546805786	3.723815227	3.844080535	3.888004827
4.00	0.284076977	0.319828612	0.420186052	0.570375887	0.757745069	0.97387316	1.212985834	1.470504245	1.742248637	2.024038677	2.311461573	2.599683186	2.883233381	3.155712361	3.409353802	3.634352907	3.817860636	3.942802235	3.988529999
4.10	0.275469973	0.312333317	0.415545889	0.569619021	0.761614521	0.983082413	1.228256064	1.492530161	1.771659362	2.06136725	2.35712091	2.65394402	2.946199938	3.227291035	3.489207477	3.721826373	3.911845857	4.041486086	4.089031954
4.20	0.267340437	0.305306548	0.411332697	0.569217373	0.765759956	0.992495467	1.243668826	1.514647507	1.80111897	2.098709429	2.402765027	2.708166782	3.009111322	3.29880324	3.568989702	3.809231001	4.005774394	4.140134236	4.189512287
4.30	0.259657522	0.298717707	0.407516954	0.56914455	0.770159952	1.002096449	1.259213414	1.536849972	1.830624714	2.136065272	2.448396118	2.762355205	3.071972252	3.370254148	3.648705555	3.896571198	4.099649466	4.238748642	4.289972433
4.40	0.252391802	0.292537627	0.404070614	0.569375625	0.774794389	1.011870481	1.274879756	1.559131532	1.860173843	2.17343461	2.494015988	2.816512531	3.134786917	3.441648415	3.728359654	3.983851004	4.193474043	4.33733109	4.390413682
4.50	0.245515392	0.286738684	0.400967193	0.569887201	0.779644485	1.021803706	1.290658438	1.581486486	1.889763655	2.210817107	2.539626125	2.870641592	3.197559048	3.512990232	3.8079562	4.071074129	4.287250863	4.435883218	4.490837201
4.60	0.239001999	0.281294845	0.398181804	0.570657422	0.784692794	1.031883279	1.306540711	1.603909481	1.919391534	2.248212315	2.585227759	2.924744865	3.26029197	3.584283388	3.887499024	4.158243985	4.38098246	4.534406531	4.591244045
4.70	0.232826938	0.276181681	0.395691164	0.571665957	0.789923179	1.042097348	1.32251848	1.626395522	1.949054975	2.285619707	2.630821908	2.978824527	3.322988662	3.655531308	3.966991627	4.245363718	4.474671183	4.632902414	4.691635171
4.80	0.226967118	0.271376353	0.393473559	0.572893965	0.795320763	1.05243501	1.338584286	1.648939964	1.978751599	2.323038712	2.676409416	3.032882493	3.385651795	3.726737102	4.046437212	4.332436229	4.568319212	4.731372145	4.79201145
4.90	0.221401005	0.266857563	0.391508808	0.574324031	0.800871874	1.062886267	1.35473127	1.671538507	2.008479165	2.360468734	2.721990986	3.086920459	3.448283769	3.797903591	4.125838712	4.419464199	4.661928574	4.829816907	4.892373675
5.00	0.216108563	0.262605505	0.389778189	0.575940103	0.806563975	1.073441969	1.370953143	1.694187181	2.038235568	2.397909168	2.767567203	3.140939928	3.510886748	3.869033344	4.205198821	4.50645011	4.755501158	4.928237794	4.992722568
5.10	0.211071187	0.258601795	0.388264376	0.577727414	0.812385595	1.084093758	1.387244148	1.716882327	2.068018841	2.435359411	2.813138557	3.194942236	3.573462688	3.940128704	4.284520014	4.59339626	4.849038723	5.026635826	5.093058791
5.20	0.206271634	0.254829394	0.38695136	0.579672402	0.818326254	1.094834011	1.403599021	1.739620579	2.097827152	2.472818875	2.858705458	3.248928576	3.636013356	4.011191809	4.36380457	4.68030478	4.942542914	5.125011947	5.193382951
5.30	0.201693939	0.251272533	0.385824365	0.581762632	0.824376389	1.105655781	1.420012954	1.762398844	2.127658796	2.510286988	2.904268251	3.302900014	3.698540359	4.082224617	4.443054587	4.76717765	5.036015267	5.223367041	5.293695603
5.40	0.197323337	0.247916627	0.384869773	0.583986712	0.830527284	1.116552744	1.436481557	1.785214283	2.157512193	2.5477632	2.949827225	3.356857508	3.761045155	4.153228919	4.522272001	4.854016711	5.129457221	5.32170193	5.393997256
5.50	0.193146182	0.244748205	0.384075037	0.586334215	0.836771	1.127519144	1.453000825	1.808064289	2.187385876	2.585246986	2.995382626	3.410801918	3.823529073	4.224206362	4.601458603	4.940823675	5.222870123	5.420017384	5.494288382
5.60	0.189149871	0.24175482	0.383428611	0.588795606	0.843100309	1.138549741	1.469567099	1.830946469	2.217278488	2.622737845	3.040934661	3.464734021	3.885993326	4.295158456	4.680616046	5.027600137	5.316255238	5.518314123	5.594569411
5.70	0.185322766	0.238924983	0.382919866	0.591362167	0.849508632	1.149639769	1.486177042	1.853858627	2.247188772	2.660235305	3.086483506	3.518654521	3.948439024	4.366086593	4.759745864	5.114347585	5.409613752	5.616592823	5.694840742
5.80	0.181654121	0.236248085	0.382539026	0.594025931	0.855989981	1.160784888	1.502827604	1.876798745	2.277115563	2.697738916	3.132029311	3.572564054	4.010867181	4.436992056	4.838849477	5.201067407	5.502946782	5.714854117	5.795102745
5.90	0.178134015	0.233714334	0.382277098	0.596779619	0.862538906	1.171981145	1.519515997	1.89976497	2.307057785	2.735248257	3.177572204	3.626463198	4.07327873	4.507876027	4.917928204	5.2877609	5.596255376	5.813098601	5.895355758
6.00	0.174753284	0.231314684	0.382125808	0.599616575	0.869150444	1.183224939	1.536239672	1.922755596	2.337014439	2.772762931	3.223112294	3.680352481	4.135674527	4.578739602	4.996983269	5.374429275	5.689540523	5.911326835	5.995600096
6.10	0.171503463	0.229040779	0.38207754	0.602530719	0.875820075	1.194512985	1.552996292	1.945769055	2.3669846	2.810282562	3.268649674	3.734232385	4.198055361	4.649583791	5.076015812	5.461073668	5.782803152	6.009539348	6.09583605
6.20	0.168376731	0.226884898	0.382125288	0.60551649	0.882543677	1.205842283	1.569783718	1.9688039	2.396967411	2.847806801	3.314184426	3.788103348	4.260421959	4.720409534	5.155026893	5.54769514	5.876044141	6.107736637	6.196063892
6.30	0.165365852	0.224839901	0.382262598	0.608568803	0.889317493	1.217210093	1.586599984	1.991858797	2.426962076	2.885335315	3.359716617	3.841965775	4.322774993	4.791217699	5.234017501	5.634294686	5.969264317	6.205919171	6.29628387
6.40	0.162464132	0.222899179	0.382483524	0.611683003	0.89613809	1.228613906	1.603443286	2.014932515	2.456967854	2.922867795	3.405246308	3.895820036	4.385115083	4.862009095	5.312988557	5.72087324	6.062464463	6.304087396	6.396496218
6.50	0.159665375	0.221056614	0.382782586	0.614854827	0.903002332	1.240051425	1.62031196	2.038023915	2.48698406	2.960403949	3.45077355	3.949666472	4.447442805	4.932784474	5.391940921	5.807431679	6.155645317	6.402241731	6.496701151
6.60	0.156963835	0.219306536	0.383154729	0.618080372	0.909907352	1.251520543	1.637204476	2.06113194	2.517010052	2.997943502	3.496298387	4.003505395	4.509758692	5.003544535	5.470875399	5.893970825	6.248807577	6.500382572	6.59689887
6.70	0.154354185	0.217643685	0.383595287	0.621356054	0.916850522	1.263019321	1.65411942	2.084255614	2.547045234	3.035486198	3.541820857	4.057337098	4.572063239	5.074289929	5.549792742	5.980491451	6.341951903	6.598510298	6.697089562
6.80	0.15183148	0.216063179	0.384099949	0.624678587	0.923829433	1.274545979	1.671055486	2.107394028	2.577089052	3.073031793	3.587340992	4.111161846	4.634356906	5.145021265	5.628693653	6.066994285	6.43507892	6.696625264	6.7972734
6.90	0.149391125	0.214560481	0.384664732	0.62804495	0.930841874	1.286098873	1.688011464	2.130546338	2.607140984	3.11058006	3.632858821	4.164979887	4.696640122	5.215739111	5.707578794	6.153480012	6.528189221	6.79472781	6.897450546
7.00	0.147028845	0.213131371	0.385285949	0.631452368	0.937885811	1.29767649	1.704986232	2.153711757	2.637200546	3.148130782	3.678374368	4.218791453	4.758913287	5.286443997	5.786448782	6.239949275	6.621283366	6.892818257	6.99762115
7.10	0.144740662	0.211771919	0.385960186	0.634898283	0.944959373	1.309277427	1.721978749	2.176889552	2.667267282	3.185683758	3.723887654	4.272596755	4.821176773	5.35713642	5.865304197	6.326402683	6.714361887	6.99089691	7.097785354
7.20	0.142522866	0.210478464	0.38668428	0.638380342	0.952060833	1.320900388	1.738988045	2.20007904	2.697340767	3.223238795	3.769398696	4.326395992	4.883430928	5.427816844	5.944145584	6.412840808	6.807425288	7.088964059	7.197943286
7.30	0.140371997	0.209247589	0.387455297	0.64189637	0.959188598	1.332544169	1.756013219	2.223279579	2.727420601	3.260795714	3.81490751	4.380189348	4.945676077	5.498485707	6.022973456	6.49926419	6.900474048	7.187019982	7.29809507
7.40	0.138284825	0.208076103	0.388270512	0.645444362	0.966341195	1.344207653	1.773053428	2.246490572	2.757506408	3.298354343	3.860414107	4.433976994	5.007912525	5.569143416	6.101788294	6.585673338	6.993508621	7.285064941	7.398240819
7.50	0.136258327	0.206961022	0.389127393	0.649022462	0.973517258	1.355889799	1.790107886	2.269711455	2.787597834	3.33591452	3.905918498	4.487759092	5.070140556	5.639790356	6.180590551	6.672068736	7.086529439	7.383099186	7.498380639
7.60	0.134289676	0.205899554	0.390023584	0.652628954	0.980715522	1.36758964	1.807175857	2.292941703	2.817694548	3.373476093	3.951420691	4.541535789	5.132360439	5.710426888	6.259380655	6.758450837	7.179536912	7.481122957	7.598514628
7.70	0.132376223	0.204889083	0.390956894	0.656262246	0.987934812	1.37930627	1.824256652	2.31618082	2.847796235	3.411038915	3.996920694	4.595307226	5.194572423	5.78105335	6.338159007	6.844820072	7.27253143	7.57913648	7.698642878
7.80	0.130515483	0.203927155	0.391925278	0.659920862	0.995174032	1.391038845	1.841349622	2.339428338	2.877902599	3.44860285	4.042418511	4.649073533	5.256776744	5.851670062	6.416925987	6.931176847	7.365513362	7.677139973	7.798765477
7.90	0.128705124	0.203011468	0.392926831	0.663603431	1.002432164	1.402786573	1.85845416	2.36268382	2.90801336	3.486167765	4.087914145	4.702834831	5.318973624	5.922277324	6.495681953	7.017521549	7.458483062	7.775133643	7.898882502
